entry_time,exit_time,direction,entry_px,exit_px,pnl_pts,exit_reason
2022-03-03 14:10:00,2022-03-03 14:10:00,short,1512.3,1513.3535127735834,-2.4935,stop
2022-03-03 14:30:00,2022-03-03 14:30:00,short,1515.4,1516.45094350024,-2.4909,stop
2022-03-04 09:55:00,2022-03-04 10:10:00,long,1515.1,1516.4,-0.14,target
2022-03-04 10:25:00,2022-03-04 10:45:00,long,1515.3,1514.2832230895297,-2.4568,stop
2022-03-04 11:05:00,2022-03-04 11:05:00,long,1512.0,1512.3019478289978,-1.1381,stop
2022-03-04 11:25:00,2022-03-04 11:30:00,long,1513.2,1513.5,-1.14,session_end
2022-03-04 13:30:00,2022-03-04 13:35:00,long,1513.8,1513.0970617341388,-2.1429,stop
2022-03-04 13:55:00,2022-03-04 13:55:00,long,1513.2,1512.0327810462345,-2.6072,stop
2022-03-07 10:25:00,2022-03-07 10:50:00,short,1500.8,1501.5431882014077,-2.1832,stop
2022-03-07 11:10:00,2022-03-07 11:30:00,short,1504.1,1504.9,-2.24,session_end
2022-03-07 13:30:00,2022-03-07 13:40:00,long,1502.5,1504.0,0.06,target
2022-03-07 13:50:00,2022-03-07 14:10:00,short,1507.1,1504.6,1.06,target
2022-03-08 09:55:00,2022-03-08 09:55:00,long,1495.1,1495.1781117876628,-1.3619,stop
2022-03-08 10:15:00,2022-03-08 10:30:00,long,1493.9,1493.1025095514478,-2.2375,stop
2022-03-08 13:30:00,2022-03-08 13:30:00,long,1493.6,1494.248424094672,-0.7916,stop
2022-03-08 13:55:00,2022-03-08 14:00:00,long,1494.3,1495.7,-0.04,target
2022-03-08 14:10:00,2022-03-08 14:10:00,long,1489.5,1490.2705923649517,-0.6694,stop
2022-03-08 14:30:00,2022-03-08 14:30:00,long,1486.2,1486.8933565077962,-0.7466,stop
2022-03-09 09:40:00,2022-03-09 09:50:00,long,1493.0,1491.6085377255235,-2.8315,stop
2022-03-09 10:25:00,2022-03-09 10:45:00,long,1490.9,1489.7714298948008,-2.5686,stop
2022-03-09 11:05:00,2022-03-09 11:05:00,long,1488.4,1488.8055049161387,-1.0345,stop
2022-03-10 09:30:00,2022-03-10 10:05:00,long,1499.5,1500.5,-0.44,target
