date,open,high,low,close,volume,day_vwap,prev_vwap,gap,gap_std,gap_z
2023-02-15,1030.9,1050.0,1027.7,1036.7,7981,1039.668191120578,1035.3473985208118,-4.447398520811703,13.60132895459363,-0.32698264527376686
2023-02-16,1041.4,1053.5,1039.0,1052.5,6347,1044.8516989653906,1039.668191120578,1.731808879422033,13.60986132007874,0.12724662204067289
2023-02-17,1051.5,1052.4,1041.1,1046.2,7129,1046.8469864871183,1044.8516989653906,6.648301034609403,13.572369842558833,0.4898408392735032
2023-02-20,1050.1,1090.0,1050.1,1090.0,8170,1063.3132150142799,1046.8469864871183,3.25301351288158,13.59548195183475,0.23927165836460668
2023-02-21,1088.0,1092.5,1077.0,1077.5,7564,1086.1556451612903,1063.3132150142799,24.686784985720124,14.498681171447183,1.7026917616711768
2023-02-22,1064.8,1070.2,1056.5,1056.5,7344,1064.8900372185913,1086.1556451612903,-21.35564516129034,14.653336334729271,-1.4573913184996785
2023-02-23,1045.2,1047.4,1025.2,1044.7,7924,1037.9027301026417,1064.8900372185913,-19.690037218591215,15.167493052138868,-1.2981734786959136
2023-02-24,1045.2,1047.3,1017.5,1031.7,8053,1035.6687114532888,1037.9027301026417,7.297269897358319,14.496190885283273,0.5033922328359104
2023-02-27,1017.1,1019.7,1003.1,1008.2,8636,1010.2252663270033,1035.6687114532888,-18.568711453288756,14.721365261073137,-1.2613443878326243
2023-02-28,1014.3,1022.6,1006.9,1009.5,7060,1016.9026156751653,1010.2252663270033,4.074733672996672,14.560121607285529,0.2798557445397829
2023-03-01,1004.0,1034.4,998.3,1032.0,8045,1013.7874580484772,1016.9026156751653,-12.902615675165293,13.250462975805874,-0.9737482908125008
2023-03-02,1031.2,1035.6,1020.6,1024.7,7259,1028.9535473205676,1013.7874580484772,17.412541951522826,13.00138745653182,1.3392833656976255
2023-03-03,1028.1,1032.0,1008.0,1008.0,8106,1022.1474216629657,1028.9535473205676,-0.8535473205677135,12.963925347569525,-0.06584019096713917
2023-03-06,1013.3,1035.4,1010.6,1010.8,9765,1027.1495169824202,1022.1474216629657,-8.847421662965758,12.906072547657697,-0.6855239369138261
2023-03-07,1019.1,1040.1,1018.7,1020.0,7991,1028.1656613690402,1027.1495169824202,-8.049516982420187,12.357229012614608,-0.6514014569288157
2023-03-08,1017.8,1034.0,1013.6,1034.0,7926,1019.4039069728319,1028.1656613690402,-10.365661369040254,12.149644808220367,-0.8531657947750799
2023-03-09,1042.5,1056.7,1036.1,1051.9,8120,1040.9384113300493,1019.4039069728319,23.09609302716808,13.496349798440885,1.7112844118663975
2023-03-10,1042.7,1045.7,1033.3,1039.5,7986,1040.5244678186828,1040.9384113300493,1.7615886699506973,13.330368675076667,0.13214853338934873
2023-03-13,1043.8,1054.4,1043.8,1048.0,7744,1048.8233384986227,1040.5244678186828,3.275532181317203,13.036771142214224,0.2512533314871762
2023-03-14,1043.6,1047.2,1033.0,1036.0,7145,1041.1636482388617,1048.8233384986227,-5.223338498622752,13.030961362703525,-0.4008406097782389
2023-03-15,1052.0,1068.4,1052.0,1065.5,7585,1059.9818149857174,1041.1636482388617,10.836351761138303,13.255315190446193,0.8175099275608803
2023-03-16,1059.0,1059.1,1042.0,1042.8,6166,1053.1353443615526,1059.9818149857174,-0.9818149857173921,13.24958221631791,-0.07410158069046202
2023-03-17,1056.4,1057.5,1041.7,1045.3,6878,1050.6779247843365,1053.1353443615526,3.2646556384474934,13.178613946631206,0.24772374785908527
2023-03-20,1039.2,1040.0,1017.5,1023.0,7910,1029.2443868520859,1050.6779247843365,-11.477924784336437,13.374257431495483,-0.8582102477933983
2023-03-21,1027.9,1031.1,1013.2,1030.0,6895,1023.194435581339,1029.2443868520859,-1.3443868520857905,11.916762065623118,-0.11281477675584467
2023-03-22,1038.0,1041.5,1030.8,1035.6,7262,1035.6488754245847,1023.194435581339,14.805564418660992,11.634407862537758,1.2725670780662768
2023-03-23,1027.2,1039.3,1027.2,1038.0,7548,1031.9843711358417,1035.6488754245847,-8.448875424584685,10.914082934937127,-0.7741260053594559
2023-03-24,1041.2,1054.0,1041.2,1045.6,7735,1046.2709372979962,1031.9843711358417,9.215628864158361,10.990326750896832,0.8385218267879386
2023-03-27,1045.5,1052.3,1040.6,1047.6,7749,1046.6268464748139,1046.2709372979962,-0.77093729799617,10.088318868005818,-0.07641880754197086
2023-03-28,1052.5,1059.7,1050.5,1051.0,7609,1056.0964340474,1046.6268464748139,5.873153525186126,10.125827474696266,0.5800171432767076
2023-03-29,1049.2,1054.0,1048.7,1050.9,7034,1051.2605298076012,1056.0964340474,-6.896434047399907,9.774341502970934,-0.7055650802976058
2023-03-30,1061.0,1067.2,1061.0,1064.0,8610,1064.5998838559815,1051.2605298076012,9.739470192398812,9.245482361277599,1.053430184799244
2023-03-31,1064.7,1075.4,1064.7,1069.8,7668,1070.6647148322031,1064.5998838559815,0.10011614401855695,9.238253851369048,0.01083712849086956
2023-04-03,1081.3,1082.2,1077.0,1080.8,8888,1079.5874999999999,1070.6647148322031,10.635285167796837,9.174630964000606,1.159205771820964
2023-04-04,1085.1,1085.2,1078.3,1082.5,6742,1080.747948185504,1079.5874999999999,5.5125000000000455,8.893366677715264,0.6198440028131422
2023-04-05,1081.4,1081.7,1077.5,1081.7,6133,1079.1997499864124,1080.747948185504,0.6520518144961898,8.37193235646442,0.0778854614123471
2023-04-06,1083.9,1086.4,1079.1,1079.8,5939,1083.9728012572264,1079.1997499864124,4.70025001358772,6.960340611311145,0.6752902301863524
2023-04-07,1075.0,1075.0,1068.2,1073.0,6839,1071.9947360725253,1083.9728012572264,-8.972801257226365,7.4008430025064635,-1.2124025944324885
2023-04-10,1075.6,1079.5,1070.8,1072.5,6471,1076.760155565858,1071.9947360725253,3.6052639274746525,7.404845740427612,0.4868790051616197
2023-04-11,1069.5,1078.2,1065.3,1077.5,6008,1069.7252330226365,1076.760155565858,-7.2601555658579855,7.518801687610589,-0.9656000872880052
2023-04-12,1077.4,1077.9,1071.3,1072.7,6933,1075.1961536612337,1069.7252330226365,7.674766977363561,7.346523778965697,1.0446800702309953
2023-04-13,1074.1,1075.0,1069.9,1071.7,5782,1073.0640666436066,1075.1961536612337,-1.0961536612337568,7.348585586106056,-0.1491652575029201
2023-04-14,1071.8,1074.7,1065.4,1066.0,7128,1071.073021885522,1073.0640666436066,-1.2640666436066113,7.360319084253615,-0.17174073965229403
2023-04-17,1063.4,1064.5,1058.0,1063.0,7714,1061.8785714285714,1071.073021885522,-7.673021885521848,7.056966539844655,-1.0872974729579423
2023-04-18,1065.3,1065.4,1060.1,1062.5,7328,1062.5604303129548,1061.8785714285714,3.421428571428578,7.038459942286873,0.4861047160150375
2023-04-19,1062.8,1063.6,1054.7,1055.0,6743,1061.5888229769143,1062.5604303129548,0.23956968704510473,6.32611973022812,0.03786992615716204
2023-04-20,1054.7,1055.3,1048.8,1054.0,5273,1053.0231936279158,1061.5888229769143,-6.888822976914298,6.212740077687354,-1.1088220158533675
2023-04-21,1047.2,1047.4,1040.7,1042.0,6427,1045.4663139878637,1053.0231936279158,-5.823193627915771,6.078168491489214,-0.9580507082140839
2023-04-24,1038.5,1046.8,1036.9,1042.3,8839,1041.8129841233927,1045.4663139878637,-6.966313987863714,6.288532352511579,-1.1077805753963301
2023-04-25,1042.6,1044.2,1030.7,1031.2,7268,1040.043115942029,1041.8129841233927,0.7870158766072564,6.138102283767181,0.12821811045550638
2023-04-26,1029.2,1037.5,1025.8,1037.5,7798,1029.7830512097119,1040.043115942029,-10.843115942029044,6.418741977392795,-1.689289892041021
2023-04-27,1036.5,1039.0,1032.6,1035.0,7126,1035.8243568154176,1029.7830512097119,6.716948790288143,6.197071437908704,1.0838908115854928
2023-04-28,1038.9,1042.9,1037.5,1042.7,7572,1039.3186036273992,1035.8243568154176,3.075643184582532,6.251183523533995,0.49200974071607034
2023-05-04,1042.0,1042.4,1031.3,1031.5,7398,1036.5584662521403,1039.3186036273992,2.6813963726008296,5.738225891397593,0.4672866532878428
2023-05-05,1032.4,1035.9,1030.6,1034.2,6777,1033.078963159707,1036.5584662521403,-4.158466252140215,5.575833953543528,-0.7458016660444929
2023-05-08,1037.9,1042.4,1036.4,1041.8,6516,1039.1754552895436,1033.078963159707,4.821036840293118,5.731153804807881,0.8411983004624195
2023-05-09,1041.8,1045.9,1041.1,1042.3,6793,1043.370719858678,1039.1754552895436,2.624544710456348,5.63745204071248,0.46555512871815924
2023-05-10,1042.3,1052.0,1042.3,1051.5,7306,1047.0492973811479,1043.370719858678,-1.0707198586781033,5.337753602773614,-0.20059372132159373
2023-05-11,1051.9,1054.8,1050.6,1050.9,6809,1052.8465070739708,1047.0492973811479,4.85070261885221,5.399615512036064,0.8983422260417813
2023-05-12,1050.6,1062.0,1048.4,1061.8,8946,1052.549131828005,1052.8465070739708,-2.246507073970861,5.196855018309216,-0.43228203712747726
2023-05-15,1067.0,1071.7,1065.0,1065.0,9172,1069.2674407617387,1052.549131828005,14.450868171994898,5.930808373450812,2.436576476940989
2023-05-16,1065.5,1069.3,1064.6,1066.8,6906,1066.8531277150305,1069.2674407617387,-3.767440761738726,5.981486924050487,-0.6298502044016049
2023-05-17,1066.2,1074.5,1065.9,1066.2,7987,1069.5181169400275,1066.8531277150305,-0.6531277150304504,5.978140985955703,-0.10925264502206071
2023-05-18,1066.8,1076.2,1066.7,1074.4,7621,1070.3903818396536,1069.5181169400275,-2.718116940027585,5.75596895452899,-0.47222578187967446
2023-05-19,1064.7,1064.7,1053.0,1062.4,8927,1058.6200701990217,1070.3903818396536,-5.690381839653583,5.824987051649623,-0.9768917577322475
2023-05-22,1063.0,1067.9,1060.7,1066.4,7685,1063.5463717198006,1058.6200701990217,4.379929800978289,5.926426735545478,0.7390506955411055
2023-05-23,1067.2,1070.5,1056.1,1058.1,7443,1065.5491602848315,1063.5463717198006,3.6536282801994275,5.778596870905153,0.6322691064668657
2023-05-24,1061.9,1063.9,1054.8,1055.5,8419,1059.7439007007958,1065.5491602848315,-3.649160284831396,5.678813926719086,-0.6425919799312186
2023-05-25,1053.9,1059.2,1052.8,1058.2,8173,1055.6901994371713,1059.7439007007958,-5.843900700795757,5.608187562555012,-1.0420301809829906
2023-05-26,1057.5,1058.9,1054.3,1056.5,6871,1056.5261145878815,1055.6901994371713,1.809800562828741,5.616846495349127,0.32220936860697474
2023-05-29,1059.8,1068.5,1059.7,1067.8,7833,1062.9821183880165,1056.5261145878815,3.2738854121184886,4.977419850137119,0.6577474898020305
2023-05-30,1069.3,1070.6,1064.4,1067.6,7105,1067.2421956368755,1062.9821183880165,6.317881611983466,4.954579184995225,1.275160084456205
2023-05-31,1067.6,1068.5,1059.3,1062.6,7472,1064.7896324054248,1067.2421956368755,0.35780436312438724,4.9349774993101585,0.07250374762081556
2023-06-01,1061.8,1062.6,1056.7,1062.2,8846,1059.4109955535457,1064.7896324054248,-2.9896324054248,4.994108394480393,-0.5986318616410113
2023-06-02,1069.4,1084.5,1068.5,1081.6,10920,1077.3739957264957,1059.4109955535457,9.989004446454373,5.266101051625516,1.896850126598124
2023-06-05,1082.6,1091.4,1082.6,1085.7,9666,1087.621053176081,1077.3739957264957,5.226004273504259,5.280725861167684,0.9896374875155278
2023-06-06,1085.3,1096.4,1084.1,1095.0,8129,1088.8222044531922,1087.621053176081,-2.3210531760810227,5.336615823834663,-0.43492978559832207
2023-06-07,1099.0,1100.2,1093.3,1098.6,8808,1096.3387110202846,1088.8222044531922,10.177795546807829,5.670554564721615,1.7948501210317669
2023-06-08,1098.9,1100.4,1089.3,1090.2,7736,1096.1313297138918,1096.3387110202846,2.5612889797155276,5.627192466575487,0.45516285339965257
2023-06-09,1089.3,1094.6,1087.3,1094.0,6890,1090.397977745525,1096.1313297138918,-6.831329713891819,5.880509014631384,-1.1616902035001873
2023-06-12,1098.1,1109.0,1091.2,1107.0,8418,1095.0759800427654,1090.397977745525,7.702022254474969,5.251368884760033,1.4666694386728312
2023-06-13,1109.2,1116.0,1106.6,1114.0,9163,1109.7571101167741,1095.0759800427654,14.124019957234623,5.874587038861001,2.404257501642715
2023-06-14,1115.6,1123.5,1115.2,1116.8,9346,1118.0812825451173,1109.7571101167741,5.84288988322578,5.9029582466626405,0.9898240236629116
2023-06-15,1110.0,1117.5,1108.5,1109.5,7719,1113.022045169927,1118.0812825451173,-8.081282545117347,6.252865257897403,-1.2924127119020585
2023-06-16,1104.2,1122.5,1101.4,1102.0,10035,1113.908164756685,1113.022045169927,-8.822045169926923,6.490297874643749,-1.3592666069138102
2023-06-19,1100.2,1104.0,1094.7,1095.5,9003,1100.2432485467807,1113.908164756685,-13.708164756684937,7.324906555410935,-1.8714456837075506
2023-06-20,1095.8,1097.5,1090.5,1097.1,8552,1095.3273659183037,1100.2432485467807,-4.443248546780751,7.3904630719398865,-0.6012138215872939
2023-06-21,1100.8,1106.5,1096.0,1105.6,8538,1100.1085890528616,1095.3273659183037,5.472634081696242,7.400140072385248,0.7395311478114057
2023-06-22,1115.5,1120.4,1111.7,1111.7,7844,1114.9313233044365,1100.1085890528616,15.39141094713841,7.87601415281038,1.9542132160397818
2023-06-23,1114.5,1122.4,1112.7,1119.5,9516,1117.1773714445847,1114.9313233044365,-0.4313233044365461,7.895567219988231,-0.05462853933338928
