date,open,high,low,close,volume,day_vwap
2022-04-25,1442.7,1445.4,1346.0,1349.6,12385,1411.131513928139
2022-04-26,1356.0,1393.0,1327.2,1391.1,12261,1365.2561400647037
2022-04-27,1379.3,1405.5,1359.2,1399.3,13932,1373.8592401186716
2022-04-28,1399.3,1406.3,1388.1,1392.6,11796,1396.957511020685
2022-04-29,1394.9,1420.7,1390.0,1410.0,10873,1406.4500076642448
2022-05-04,1408.1,1409.9,1384.6,1385.4,11274,1397.8738395127432
2022-05-05,1391.0,1403.3,1372.8,1399.7,10864,1386.913322287678
2022-05-06,1382.1,1396.3,1359.4,1361.8,12220,1382.4770949263504
2022-05-09,1353.1,1355.8,1301.0,1305.4,10767,1337.2653230550138
2022-05-10,1298.0,1340.9,1291.2,1336.7,11212,1316.7443542632893
2022-05-11,1334.4,1347.7,1318.4,1342.5,10697,1332.3984170016515
2022-05-12,1333.5,1334.0,1262.6,1270.0,11564,1311.2363253776086
2022-05-13,1273.7,1287.0,1216.3,1225.3,11160,1269.7577419354839
2022-05-16,1238.1,1261.2,1213.9,1216.1,10750,1245.707649612403
2022-05-17,1219.7,1282.6,1204.9,1278.5,10119,1232.8454326843892
2022-05-18,1280.3,1304.1,1265.8,1280.2,10490,1282.8967556402924
2022-05-19,1256.8,1291.7,1253.0,1283.9,9930,1273.870913058073
2022-05-20,1283.5,1298.9,1260.0,1267.0,8520,1285.263309859155
2022-05-23,1288.2,1288.6,1238.8,1250.1,10959,1271.9679380722084
2022-05-24,1253.1,1270.5,1234.2,1265.5,9244,1253.9954204529063
2022-05-25,1274.8,1305.8,1268.7,1300.1,9612,1283.915522263837
2022-05-26,1302.1,1310.0,1292.6,1300.6,9477,1301.7396046568886
2022-05-27,1306.5,1328.3,1305.1,1321.1,9204,1315.3339091699263
2022-05-30,1329.5,1330.4,1319.7,1325.5,8674,1324.73012451003
2022-05-31,1326.1,1326.4,1310.8,1318.8,8350,1319.5419800399202
2022-06-01,1319.0,1337.4,1316.0,1326.3,9408,1325.8847186791384
2022-06-02,1323.6,1326.6,1313.1,1317.0,3644,1321.6729692645445
2022-06-03,1317.9,1321.9,1305.8,1318.5,9312,1313.805140320733
2022-06-06,1320.6,1331.7,1318.1,1320.2,9541,1324.8370191803795
2022-06-07,1314.7,1315.5,1293.5,1309.3,11001,1303.949971214738
2022-06-08,1320.3,1342.0,1320.0,1328.8,8665,1328.8289363339102
2022-06-09,1332.8,1338.9,1327.7,1337.4,9302,1332.6255643947538
2022-06-10,1328.3,1333.7,1316.8,1317.0,8888,1328.727096459646
2022-06-13,1284.9,1289.7,1258.1,1262.6,10284,1276.9257422533385
2022-06-14,1254.5,1272.3,1250.0,1262.6,8401,1259.5322699678609
2022-06-15,1268.2,1270.2,1235.6,1251.2,9431,1257.5565510903757
2022-06-16,1260.9,1286.5,1260.8,1286.5,10620,1272.3421625863152
2022-06-17,1247.0,1248.7,1215.5,1238.4,10855,1228.971807154921
2022-06-20,1244.4,1249.4,1217.2,1224.0,10643,1236.6310062952175
2022-06-21,1216.6,1240.0,1210.5,1224.8,11361,1227.333788105507
2022-06-22,1233.9,1240.8,1220.7,1224.2,11565,1233.2044156218476
2022-06-23,1222.1,1230.3,1216.5,1229.6,10418,1222.4198758558903
2022-06-24,1236.2,1237.8,1226.6,1227.0,9777,1234.4115100064778
2022-06-27,1236.1,1245.8,1234.1,1245.0,10146,1238.6467639135292
2022-06-28,1246.1,1266.2,1242.7,1263.0,8722,1250.6172666819539
2022-06-29,1255.5,1262.8,1251.1,1259.0,9875,1257.5784135021097
2022-06-30,1261.9,1264.5,1246.0,1246.0,9534,1259.096325431788
2022-07-01,1240.7,1243.4,1221.6,1239.0,10452,1233.5132574307947
2022-07-04,1247.1,1252.0,1238.1,1242.5,9776,1247.3477768685216
2022-07-05,1248.4,1251.8,1234.7,1235.4,9656,1244.769531897266
2022-07-06,1234.4,1234.4,1214.0,1214.0,10369,1227.5697045681036
2022-07-07,1215.3,1225.9,1213.1,1223.2,9614,1219.3576242978988
2022-07-08,1231.0,1231.3,1223.7,1225.0,9054,1228.5637545099771
2022-07-11,1221.5,1221.8,1198.0,1199.5,9432,1214.0395780322308
2022-07-12,1202.5,1215.8,1202.2,1215.6,9603,1207.8727064459024
2022-07-13,1214.9,1220.0,1209.6,1211.2,9154,1214.336403029641
2022-07-14,1206.5,1217.3,1204.6,1216.1,8893,1209.3598635631022
2022-07-15,1218.5,1221.5,1209.5,1211.5,9247,1217.4103132547493
2022-07-18,1218.1,1221.0,1212.6,1214.2,7564,1218.0004715318173
2022-07-19,1213.8,1216.2,1208.1,1212.8,7198,1212.31724090025
2022-07-20,1223.2,1230.5,1221.4,1226.0,7953,1225.8367576176706
2022-07-21,1225.2,1241.9,1225.2,1231.8,8345,1233.4163011783503
2022-07-22,1230.4,1234.0,1223.5,1224.2,8753,1229.3477893293727
2022-07-25,1222.4,1224.6,1217.2,1220.5,8922,1221.5122356721213
2022-07-26,1222.7,1225.5,1217.5,1219.5,8101,1222.9150804427436
2022-07-27,1216.2,1219.6,1213.1,1219.3,8961,1215.5496484767325
2022-07-28,1228.9,1237.2,1228.5,1232.1,7583,1232.7991296320718
2022-07-29,1236.6,1236.9,1229.2,1230.5,8062,1233.1207682130157
2022-08-01,1232.3,1245.9,1231.1,1244.0,9436,1239.211752861382
2022-08-02,1245.0,1249.4,1238.3,1246.1,8636,1242.014331480624
2022-08-03,1245.3,1252.8,1242.4,1251.0,9598,1245.8368236438148
2022-08-04,1255.6,1259.8,1252.2,1256.1,9954,1256.08547652535
2022-08-05,1258.9,1262.2,1254.9,1260.8,7950,1257.4552159329141
2022-08-08,1263.0,1267.5,1261.4,1267.0,8334,1264.2632909367248
2022-08-09,1265.0,1275.1,1264.7,1272.3,7980,1270.2811319966584
2022-08-10,1270.9,1273.7,1268.7,1270.5,7502,1271.5900648715897
2022-08-11,1283.0,1287.7,1269.0,1270.8,9689,1282.5066432724395
2022-08-12,1267.6,1276.8,1266.4,1276.1,9188,1270.378979828762
2022-08-15,1285.5,1294.5,1284.8,1293.4,9915,1290.00486468314
2022-08-16,1296.5,1297.3,1291.5,1295.7,8946,1293.9401892838514
2022-08-17,1299.5,1311.2,1298.6,1311.0,9520,1304.6920903361345
2022-08-18,1307.0,1312.8,1304.7,1305.5,6954,1308.3474690825426
2022-08-19,1292.0,1292.0,1276.3,1278.0,8714,1286.6234488562466
2022-08-22,1275.1,1278.9,1270.3,1274.7,9727,1274.987094342209
2022-08-23,1265.5,1278.4,1264.4,1278.2,9152,1267.7952942890443
2022-08-24,1282.3,1287.8,1278.4,1287.5,9359,1282.8561990241121
2022-08-25,1287.3,1304.3,1287.2,1302.3,10102,1293.2662377087045
2022-08-26,1305.7,1305.9,1290.2,1293.3,10157,1299.5285517377179
2022-08-29,1270.3,1285.3,1264.7,1283.9,10693,1271.3948813865768
2022-08-30,1288.6,1295.6,1280.6,1289.7,11484,1289.048966678277
2022-08-31,1282.1,1298.0,1278.0,1294.2,9418,1284.8157252070503
2022-09-05,1294.3,1298.1,1282.8,1288.2,9230,1290.6873456121343
2022-09-06,1287.9,1295.7,1286.9,1291.9,9362,1291.7710638752403
2022-09-07,1284.0,1286.4,1267.1,1267.1,10309,1282.4895754518705
2022-09-08,1269.3,1275.4,1263.4,1265.0,10319,1269.1703911877767
2022-09-09,1268.7,1273.0,1260.1,1271.3,9770,1268.0796827021495
2022-09-12,1280.6,1283.2,1275.1,1278.5,8186,1280.392063685968
2022-09-13,1278.3,1278.7,1272.3,1277.7,8154,1276.416470443954
2022-09-14,1251.7,1261.9,1250.0,1260.0,8511,1253.945725140015
2022-09-15,1260.6,1263.5,1256.7,1262.0,7212,1260.7371048252912
2022-09-16,1254.3,1254.3,1233.3,1233.9,7760,1249.2301374570447
2022-09-19,1238.9,1238.9,1218.0,1224.1,11441,1230.8994639163243
2022-09-20,1227.6,1235.3,1222.0,1232.5,9129,1227.4926972651258
2022-09-21,1227.3,1228.7,1213.9,1217.9,12009,1221.4345352097039
2022-09-22,1207.8,1222.3,1204.0,1220.2,10570,1209.9919930621256
2022-09-23,1222.0,1223.0,1204.4,1209.7,10023,1215.4750340882638
2022-09-26,1198.6,1198.7,1173.7,1189.5,12602,1188.1326350314764
2022-09-27,1190.6,1196.0,1183.2,1186.7,9683,1190.1257564804296
2022-09-28,1173.9,1177.9,1161.7,1168.5,11987,1169.9788326242317
2022-09-29,1176.0,1176.6,1153.6,1154.0,10189,1169.7086073216215
2022-09-30,1143.3,1164.3,1137.0,1161.6,12455,1147.9158463803024
2022-10-03,1145.5,1147.0,1097.0,1104.6,11606,1126.4535211672123
2022-10-04,1112.6,1124.6,1094.5,1101.0,11197,1112.2492125867047
2022-10-05,1113.3,1133.9,1113.3,1121.1,10905,1122.1016231086658
2022-10-06,1118.2,1119.0,1080.2,1083.0,10804,1102.1960878686905
2022-10-07,1066.5,1066.5,1025.5,1029.0,11411,1042.8901089591914
2022-10-10,1010.9,1049.7,1008.2,1040.4,12759,1029.995490764689
2022-10-11,1024.5,1026.5,980.0,985.2,11793,1003.6336809972017
2022-10-12,996.8,1038.9,995.1,1020.5,11413,1023.0453401092321
2022-10-13,1027.8,1028.7,1004.6,1027.2,11457,1017.6780396264293
2022-10-14,1061.9,1063.8,1044.2,1052.4,9860,1053.6258451656524
2022-10-17,1035.8,1040.7,1017.4,1038.9,9539,1027.5502743124716
2022-10-18,1055.7,1069.4,1049.2,1051.3,9069,1060.2196493549454
2022-10-19,1058.9,1059.0,1045.9,1055.9,8994,1051.4677006893485
2022-10-20,1044.8,1059.3,1040.0,1058.0,8566,1051.293653202584
2022-10-21,1038.0,1038.3,982.6,988.7,9946,1008.292593337355
2022-10-24,996.0,996.0,931.0,950.0,11479,969.6490722188344
2022-10-25,939.3,984.6,933.0,954.9,9986,957.702947459777
2022-10-26,968.9,976.4,955.3,966.6,10425,964.9096690647483
2022-10-27,976.5,1022.0,972.5,1021.0,10084,992.8493719423509
2022-10-28,1027.4,1036.8,1013.6,1021.2,9209,1025.1215622398379
2022-10-31,1022.2,1025.5,984.5,1015.0,10800,1001.2382685185186
2022-11-01,1031.5,1046.6,1022.1,1023.9,10238,1036.2668001562806
2022-11-02,1017.0,1028.4,1005.6,1020.5,10443,1019.5403970761914
2022-11-03,1009.1,1023.8,1005.6,1009.2,9641,1015.1967880233723
2022-11-04,996.0,996.1,958.6,981.0,9973,973.7107791035796
2022-11-07,981.0,990.8,957.7,958.0,9409,976.1815920926772
2022-11-08,945.5,984.7,940.3,970.1,9428,957.0249398953472
2022-11-09,978.2,987.4,956.3,962.3,9289,977.4679944019807
2022-11-10,951.1,959.3,906.5,913.4,8625,943.7631265700484
2022-11-11,932.7,959.5,931.5,938.4,8353,946.3338481184405
2022-11-14,934.1,937.3,912.7,935.7,9855,925.0203855910705
2022-11-15,925.2,925.2,885.1,896.0,7495,906.0856393150989
2022-11-16,877.0,957.6,860.8,948.0,9914,895.6294801963553
2022-11-17,953.8,973.5,950.2,973.5,7433,959.3198977532625
2022-11-18,961.0,974.9,938.5,961.0,8408,955.8665239454488
2022-11-21,969.1,970.7,940.2,943.5,9253,954.2197053207968
2022-11-22,932.5,987.0,928.6,932.0,8819,948.1040405185773
2022-11-23,932.5,947.3,916.1,918.4,8417,935.2445883331353
2022-11-24,921.3,938.3,918.2,936.9,6794,925.8940339515258
2022-11-25,946.1,966.9,946.0,966.6,8705,952.4306490522688
2022-11-28,975.9,1008.0,972.4,996.0,10034,987.0752308816691
2022-11-29,993.4,1008.0,986.8,1006.6,9508,997.517501051746
2022-11-30,1020.2,1031.0,1010.1,1028.0,8114,1018.9820557061869
2022-12-01,1040.6,1059.4,1030.2,1037.6,9661,1044.1784494358762
2022-12-02,1028.5,1095.9,1025.2,1095.9,9941,1039.9146128826744
2022-12-05,1108.8,1125.2,1086.7,1097.5,9357,1101.3443340101885
2022-12-06,1102.0,1102.5,1051.3,1051.9,8739,1084.473768928558
2022-12-07,1041.0,1062.0,1034.6,1041.8,8755,1049.6033580810965
2022-12-08,1052.6,1101.1,1051.7,1065.2,8585,1076.4826247330616
2022-12-09,1058.7,1083.4,1047.4,1071.5,10193,1063.4858236044345
2022-12-12,1069.1,1074.3,1038.0,1039.4,10478,1063.4348985175288
2022-12-13,1039.0,1057.1,1026.6,1057.1,7969,1037.0773873760822
2022-12-14,1067.7,1071.0,1050.0,1053.5,7798,1059.1335214157477
2022-12-15,1059.6,1078.6,1057.2,1065.3,6572,1067.9220582268208
2022-12-16,1059.1,1075.9,1054.6,1060.5,7419,1065.9244417486634
2022-12-19,1056.5,1075.9,1049.7,1049.7,7648,1062.9079105648536
2022-12-20,1041.3,1043.6,1007.6,1026.6,7987,1026.4281081757856
2022-12-21,1030.4,1038.8,1009.5,1026.5,8702,1029.1257680226768
2022-12-22,1044.0,1045.3,1026.3,1039.5,8419,1036.5579245357721
2022-12-23,1031.9,1045.0,1016.6,1045.0,7014,1025.4542011215665
2022-12-26,1030.5,1031.8,992.6,993.6,7795,1015.3893564250587
2022-12-27,989.7,1010.0,983.7,1010.0,7583,993.0216009494923
2022-12-28,998.1,1017.7,991.3,1009.0,8973,1000.5464318882573
2022-12-29,1002.9,1013.9,1000.1,1002.0,6830,1006.602728160078
2022-12-30,997.0,1010.2,995.3,998.5,6757,1002.4476148191998
2023-01-03,1000.7,1038.0,1000.7,1037.4,8578,1015.8135229657263
2023-01-04,1046.5,1054.0,1039.0,1043.4,8430,1046.102376433373
2023-01-05,1044.2,1061.0,1043.6,1054.2,8022,1049.7370688938752
2023-01-06,1053.4,1067.0,1046.7,1049.3,7791,1058.4820690540366
2023-01-09,1058.1,1063.6,1050.2,1050.2,8150,1058.0975337423313
2023-01-10,1051.5,1061.9,1047.5,1055.5,7767,1053.8473541908072
2023-01-11,1062.0,1073.0,1060.8,1063.1,8657,1066.7284933194717
2023-01-12,1066.9,1068.9,1056.4,1059.7,7554,1063.199064513282
2023-01-13,1071.1,1075.5,1062.5,1066.0,7808,1070.660587431694
2023-01-16,1071.5,1075.2,1064.2,1073.0,8166,1069.6800595967018
2023-01-17,1081.0,1107.0,1078.5,1107.0,8948,1087.1828825808375
2023-01-18,1105.0,1121.2,1104.3,1118.2,8829,1112.3223996677616
2023-01-19,1114.0,1123.9,1112.9,1121.0,6562,1118.999812049172
2023-01-27,1138.0,1145.4,1124.0,1124.9,7720,1139.1358074265977
2023-01-30,1125.5,1129.0,1112.4,1113.4,7485,1123.4496593186373
2023-01-31,1108.5,1126.0,1097.6,1126.0,7281,1105.4123884081857
2023-02-01,1129.8,1130.5,1085.6,1089.1,7887,1117.2340053252187
2023-02-02,1090.3,1101.0,1078.0,1090.3,7547,1091.1832207057992
2023-02-03,1093.4,1093.4,1080.1,1084.0,7608,1088.0571416053278
2023-02-06,1077.3,1094.7,1068.5,1091.0,8361,1077.125997687677
2023-02-07,1091.3,1093.5,1063.6,1064.0,8155,1085.2048068669526
2023-02-08,1069.8,1083.0,1065.9,1073.2,7713,1072.574216690436
2023-02-09,1069.8,1076.8,1060.2,1061.5,7652,1067.823170412964
2023-02-10,1056.5,1058.9,1044.1,1045.6,7477,1055.5931746244037
2023-02-13,1042.0,1045.7,1021.8,1033.0,8478,1036.2050562239522
2023-02-14,1040.5,1040.8,1027.4,1031.0,7752,1035.3473985208118
2023-02-15,1030.9,1050.0,1027.7,1036.7,7981,1039.668191120578
2023-02-16,1041.4,1053.5,1039.0,1052.5,6347,1044.8516989653906
2023-02-17,1051.5,1052.4,1041.1,1046.2,7129,1046.8469864871183
2023-02-20,1050.1,1090.0,1050.1,1090.0,8170,1063.3132150142799
2023-02-21,1088.0,1092.5,1077.0,1077.5,7564,1086.1556451612903
2023-02-22,1064.8,1070.2,1056.5,1056.5,7344,1064.8900372185913
2023-02-23,1045.2,1047.4,1025.2,1044.7,7924,1037.9027301026417
2023-02-24,1045.2,1047.3,1017.5,1031.7,8053,1035.6687114532888
2023-02-27,1017.1,1019.7,1003.1,1008.2,8636,1010.2252663270033
2023-02-28,1014.3,1022.6,1006.9,1009.5,7060,1016.9026156751653
2023-03-01,1004.0,1034.4,998.3,1032.0,8045,1013.7874580484772
2023-03-02,1031.2,1035.6,1020.6,1024.7,7259,1028.9535473205676
2023-03-03,1028.1,1032.0,1008.0,1008.0,8106,1022.1474216629657
2023-03-06,1013.3,1035.4,1010.6,1010.8,9765,1027.1495169824202
2023-03-07,1019.1,1040.1,1018.7,1020.0,7991,1028.1656613690402
2023-03-08,1017.8,1034.0,1013.6,1034.0,7926,1019.4039069728319
2023-03-09,1042.5,1056.7,1036.1,1051.9,8120,1040.9384113300493
2023-03-10,1042.7,1045.7,1033.3,1039.5,7986,1040.5244678186828
2023-03-13,1043.8,1054.4,1043.8,1048.0,7744,1048.8233384986227
2023-03-14,1043.6,1047.2,1033.0,1036.0,7145,1041.1636482388617
2023-03-15,1052.0,1068.4,1052.0,1065.5,7585,1059.9818149857174
2023-03-16,1059.0,1059.1,1042.0,1042.8,6166,1053.1353443615526
2023-03-17,1056.4,1057.5,1041.7,1045.3,6878,1050.6779247843365
2023-03-20,1039.2,1040.0,1017.5,1023.0,7910,1029.2443868520859
2023-03-21,1027.9,1031.1,1013.2,1030.0,6895,1023.194435581339
2023-03-22,1038.0,1041.5,1030.8,1035.6,7262,1035.6488754245847
2023-03-23,1027.2,1039.3,1027.2,1038.0,7548,1031.9843711358417
2023-03-24,1041.2,1054.0,1041.2,1045.6,7735,1046.2709372979962
2023-03-27,1045.5,1052.3,1040.6,1047.6,7749,1046.6268464748139
2023-03-28,1052.5,1059.7,1050.5,1051.0,7609,1056.0964340474
2023-03-29,1049.2,1054.0,1048.7,1050.9,7034,1051.2605298076012
2023-03-30,1061.0,1067.2,1061.0,1064.0,8610,1064.5998838559815
2023-03-31,1064.7,1075.4,1064.7,1069.8,7668,1070.6647148322031
2023-04-03,1081.3,1082.2,1077.0,1080.8,8888,1079.5874999999999
2023-04-04,1085.1,1085.2,1078.3,1082.5,6742,1080.747948185504
2023-04-05,1081.4,1081.7,1077.5,1081.7,6133,1079.1997499864124
2023-04-06,1083.9,1086.4,1079.1,1079.8,5939,1083.9728012572264
2023-04-07,1075.0,1075.0,1068.2,1073.0,6839,1071.9947360725253
2023-04-10,1075.6,1079.5,1070.8,1072.5,6471,1076.760155565858
2023-04-11,1069.5,1078.2,1065.3,1077.5,6008,1069.7252330226365
2023-04-12,1077.4,1077.9,1071.3,1072.7,6933,1075.1961536612337
2023-04-13,1074.1,1075.0,1069.9,1071.7,5782,1073.0640666436066
2023-04-14,1071.8,1074.7,1065.4,1066.0,7128,1071.073021885522
2023-04-17,1063.4,1064.5,1058.0,1063.0,7714,1061.8785714285714
2023-04-18,1065.3,1065.4,1060.1,1062.5,7328,1062.5604303129548
2023-04-19,1062.8,1063.6,1054.7,1055.0,6743,1061.5888229769143
2023-04-20,1054.7,1055.3,1048.8,1054.0,5273,1053.0231936279158
2023-04-21,1047.2,1047.4,1040.7,1042.0,6427,1045.4663139878637
2023-04-24,1038.5,1046.8,1036.9,1042.3,8839,1041.8129841233927
2023-04-25,1042.6,1044.2,1030.7,1031.2,7268,1040.043115942029
2023-04-26,1029.2,1037.5,1025.8,1037.5,7798,1029.7830512097119
2023-04-27,1036.5,1039.0,1032.6,1035.0,7126,1035.8243568154176
2023-04-28,1038.9,1042.9,1037.5,1042.7,7572,1039.3186036273992
2023-05-04,1042.0,1042.4,1031.3,1031.5,7398,1036.5584662521403
2023-05-05,1032.4,1035.9,1030.6,1034.2,6777,1033.078963159707
2023-05-08,1037.9,1042.4,1036.4,1041.8,6516,1039.1754552895436
2023-05-09,1041.8,1045.9,1041.1,1042.3,6793,1043.370719858678
2023-05-10,1042.3,1052.0,1042.3,1051.5,7306,1047.0492973811479
2023-05-11,1051.9,1054.8,1050.6,1050.9,6809,1052.8465070739708
2023-05-12,1050.6,1062.0,1048.4,1061.8,8946,1052.549131828005
2023-05-15,1067.0,1071.7,1065.0,1065.0,9172,1069.2674407617387
2023-05-16,1065.5,1069.3,1064.6,1066.8,6906,1066.8531277150305
2023-05-17,1066.2,1074.5,1065.9,1066.2,7987,1069.5181169400275
2023-05-18,1066.8,1076.2,1066.7,1074.4,7621,1070.3903818396536
2023-05-19,1064.7,1064.7,1053.0,1062.4,8927,1058.6200701990217
2023-05-22,1063.0,1067.9,1060.7,1066.4,7685,1063.5463717198006
2023-05-23,1067.2,1070.5,1056.1,1058.1,7443,1065.5491602848315
2023-05-24,1061.9,1063.9,1054.8,1055.5,8419,1059.7439007007958
2023-05-25,1053.9,1059.2,1052.8,1058.2,8173,1055.6901994371713
2023-05-26,1057.5,1058.9,1054.3,1056.5,6871,1056.5261145878815
