date,direction,entry_px,exit_px,target,stop_level,gap_z,pnl_pts,exit_reason
2022-08-26,short,1305.7,1293.27,1293.27,1314.88,1.3549,10.9938,target
2022-08-29,long,1270.3,1283.9,1299.53,1258.72,-2.5234,12.16,day_end
2022-08-30,short,1288.6,1289.7,1271.39,1300.7,1.4216,-2.54,day_end
2022-09-14,long,1251.7,1260.0,1276.42,1238.77,-1.9112,6.86,day_end
2022-09-26,long,1198.6,1185.94,1215.48,1185.94,-1.3326,-14.1033,stop
2022-09-28,long,1173.9,1162.83,1190.13,1162.83,-1.4661,-12.5076,stop
2022-09-30,long,1143.3,1161.6,1169.71,1131.89,-2.3154,16.86,day_end
2022-10-04,long,1112.6,1101.53,1126.45,1101.53,-1.2519,-12.5057,stop
2022-10-07,long,1066.5,1053.59,1102.2,1053.59,-2.7655,-14.3476,stop
2022-10-10,long,1010.9,1042.89,1042.89,997.66,-2.4162,30.5501,target
2022-10-14,short,1061.9,1052.4,1017.68,1079.1,2.5708,8.06,day_end
2022-10-18,short,1055.7,1051.3,1027.55,1074.71,1.4809,2.96,day_end
2022-10-25,long,939.3,969.65,969.65,920.13,-1.583,28.9091,target
2022-10-28,short,1027.4,1021.2,992.85,1048.32,1.6513,4.76,day_end
2022-11-01,short,1031.5,1023.9,1001.24,1053.45,1.3789,6.16,day_end
2022-11-08,long,945.5,976.18,976.18,924.16,-1.4379,29.2416,target
2022-11-16,long,877.0,906.09,906.09,857.54,-1.4944,27.6456,target
2022-11-17,short,953.8,973.5,895.63,977.89,2.415,-21.14,day_end
2022-12-05,short,1108.8,1097.5,1039.91,1136.25,2.5095,9.86,day_end
2022-12-07,long,1041.0,1041.8,1084.47,1012.87,-1.5456,-0.64,day_end
2023-01-04,short,1046.5,1043.4,1015.81,1064.58,1.697,1.66,day_end
2023-01-18,short,1105.0,1116.38,1087.18,1116.38,1.5657,-12.8197,stop
2023-01-27,short,1138.0,1124.9,1119.0,1149.64,1.6318,11.66,day_end
